feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g__OTU_460	Archaea_final	yes	2.31406620377056	0.40938847782045	76	27	3.07486340598501e-07	0.000446470166549024
g__OTU_814	Archaea_final	yes	1.58118471768434	0.344673592832422	76	18	1.88221010198603e-05	0.0136648453404186
g__OTU_851	Disease	IBS	-0.818545489138677	0.20146145896981	76	10	0.00012337012417792	0.0597111401021131
g__OTU_416	Archaea_final	yes	1.49665635977686	0.402469402309431	76	29	0.000396775334113898	0.0699152663976
g__OTU_428	Archaea_final	yes	2.33432989451226	0.640056997386758	76	38	0.000502212413564697	0.0699152663976
g__OTU_440	Archaea_final	yes	2.797402449736	0.781531245164108	76	60	0.000625963128904132	0.0699152663976
g__OTU_460	Disease	IBS	-1.82075632514107	0.504264304157878	76	27	0.00056544628721713	0.0699152663976
g__OTU_486	Archaea_final	yes	1.8241655156038	0.498263427518204	76	36	0.000479731383867935	0.0699152663976
g__OTU_522	Archaea_final	yes	2.05700310523584	0.539345154368593	76	30	0.00028890831837021	0.0699152663976
g__OTU_548	Archaea_final	yes	1.29684351615338	0.359945136149322	76	11	0.000580018568857136	0.0699152663976
g__OTU_689	Archaea_final	yes	0.714575956331695	0.189580176256381	76	10	0.000335429050843959	0.0699152663976
g__OTU_741	Archaea_final	yes	1.60410038864355	0.435278568568572	76	30	0.000443093549316856	0.0699152663976
g__OTU_855	Disease	IBS	-3.02787872092676	0.785124784952256	76	23	0.000250254759245543	0.0699152663976
g__OTU_1155	Archaea_final	yes	2.25695933733754	0.649138862552014	76	13	0.00086992808146691	0.0847574639808617
g__OTU_373	Sample_classification	biofilm positive	-1.73380211993992	0.504696640568018	76	29	0.000992339454321384	0.0847574639808617
g__OTU_564	Archaea_final	yes	2.86623131535827	0.825527066081002	76	34	0.000883452945771107	0.0847574639808617
g__OTU_580	Archaea_final	yes	2.28753984022829	0.663157896291725	76	42	0.000948956356013182	0.0847574639808617
g__OTU_703	Archaea_final	yes	0.666110219217384	0.196191133057809	76	9	0.00112598464352746	0.090829427911215
g__OTU_1039	Archaea_final	yes	1.36736273249214	0.408869807210635	76	14	0.00132028441456481	0.0938912324417664
g__OTU_343	Archaea_final	yes	1.01620592040216	0.304909674937146	76	8	0.00136804694397342	0.0938912324417664
g__OTU_363	Archaea_final	yes	1.90132610785535	0.574747017680267	76	36	0.0014767762326707	0.0938912324417664
g__OTU_380	Disease	IBS-C	-1.16712871745726	0.354532695957306	76	16	0.00155192119738457	0.0938912324417664
g__OTU_704	Archaea_final	yes	1.21626089814253	0.363593456730045	76	9	0.00131674800665816	0.0938912324417664
